,english,mandarin,chinese_dialects,malay,tamil,other_indian_languages,eng_mand,eng_chn_dlt,eng_mly,eng_oth_ind_lang,eng_oth_lang,mand_eng,mand_chn_dlt,mand_oth_lang,chn_dlt_eng,chn_dlt_mand,chn_dlt_oth_lang,mly_eng,mly_oth_lang,tml_eng,tml_oth_lang,oth_ind_lang_eng,oth_ind_lang_oth_lang,oth_lang_eng,oth_lang_oth_non_eng_lang,eng_tml,no_religion,buddhism,taoism,islam,hinduism,sikhism,catholic_christian,other_christians,other_religions,chinese,malays,indian,planning_area,year
0,62218,73095,52639,45041,2990,1572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30159,82393,14887,42513,4960,649,11138,21532,579,198800,49273,19200,ANG MO KIO,2000
1,33010,24195,17802,4495,2565,394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12642,27477,4772,4496,3247,318,6192,10249,192,76303,5122,7218,BEDOK,2000
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BISHAN,2000
3,23175,45157,22086,19340,4370,1344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14344,40220,7009,17063,5038,365,3556,9319,288,84028,19771,9758,BOON LAY,2000
4,23184,37276,53119,7356,7179,734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20339,58280,13577,9336,5983,557,3959,10960,178,107231,8235,11839,BUKIT BATOK,2000
5,24608,53364,22934,23342,4213,718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14356,46189,7872,19318,4260,261,2904,8234,259,101259,25527,9161,BUKIT MERAH,2000
6,15755,37130,18891,14782,2453,447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9350,33727,6673,12282,2337,232,2669,5639,158,67299,15151,5215,CHOA CHU KANG,2000
7,14384,32064,19141,14109,2921,501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10640,29746,7681,12619,2875,261,2028,5848,66,52974,11909,5312,BUKIT PANJANG,2000
8,19033,21553,29334,9183,3464,587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13632,32677,5702,9944,2787,314,4281,9582,178,64443,10321,6671,JURONG EAST,2000
9,25974,79282,36230,34022,6778,1358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20311,68301,16089,29945,6306,763,3779,9331,309,128622,34838,14346,QUEENSTOWN,2000
10,33002,12228,8141,808,393,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11841,12579,1475,962,1047,140,4961,13155,261,28319,208,1335,JURONG WEST,2000
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BUKIT TIMAH,2000
12,177,110,150,174,103,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,154,53,174,76,37,53,60,0,0,0,0,CENTRAL WATER CATCHMENT,2000
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHANGI,2000
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHANGI BAY,2000
15,19511,25343,19170,11897,2995,778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13367,27421,5774,11792,3046,195,3137,9674,178,57795,12782,6317,TENGAH,2000
16,17029,37097,30844,15554,2687,678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13502,43323,9231,15410,2232,246,2845,6955,110,83365,12848,7827,CLEMENTI,2000
17,42271,72560,50583,17593,5022,788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20835,77103,14946,15549,5473,504,10289,12719,699,159434,18383,11582,GEYLANG,2000
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HOUGANG,2000
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIONEER,2000
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUNGGOL,2000
21,4219,9673,4261,3493,778,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2561,8298,1854,3021,865,141,651,1420,34,12594,3365,1242,SELETAR,2000
22,8726,20049,10114,5678,1068,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4995,18988,3084,5071,1251,111,1479,2574,107,24795,4244,1753,SEMBAWANG,2000
23,40057,36828,24810,6000,3206,625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15881,39948,7105,5681,4461,342,8192,12254,218,103602,6814,10187,SENGKANG,2000
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SERANGOON,2000
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SIMPANG,2000
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SOUTHERN ISLANDS,2000
27,51087,74217,41078,52930,3233,957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23764,72288,12704,45257,4410,578,7731,16442,417,145964,50777,13037,SUNGEI KADUT,2000
28,6817,1532,1501,146,85,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2358,1990,261,142,418,42,1426,2845,64,0,0,0,TAMPINES,2000
29,23304,34312,32304,8775,3298,566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14444,44405,8507,8574,3663,434,5691,10141,175,89167,9697,7977,TANGLIN,2000
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TOA PAYOH,2000
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TUAS,2000
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WESTERN ISLANDS,2000
33,27497,69562,28008,42335,6300,1216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17686,55893,12632,35530,6654,538,4531,10149,150,112932,42714,15816,WESTERN WATER CATCHMENT,2000
34,28448,62512,35694,26672,7496,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15709,59197,12578,23575,9053,466,4791,10080,357,113605,26947,17674,WOODLANDS,2000
35,482,1366,1767,106,102,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,657,2189,366,173,105,0,159,194,0,0,0,0,YISHUN,2000
36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DOWNTOWN CORE,2000
37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MARINA EAST,2000
38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MARINA SOUTH,2000
39,3004,738,536,155,46,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1013,942,91,154,302,19,471,1213,38,0,0,0,MUSEUM,2000
40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NEWTON,2000
41,1746,5283,10004,430,812,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3046,10305,2718,928,648,56,296,1321,62,9567,496,1021,ORCHARD,2000
42,13970,25897,27034,6464,5227,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10945,35678,6852,8139,4546,617,2495,6105,167,64848,6779,10889,OUTRAM,2000
43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KALLANG,2000
44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LIM CHU KANG,2000
